loc_rowid,star_name,planet_letter,pl_pnum,orbital_period,radius,st_dist,st_teff,st_mass,st_rad,rowupdate
1,11 Com,b,1,326.03,,110.62,4742,2.7,19,5/14/2014
2,11 UMi,b,1,516.22,,119.47,4340,1.8,24.08,5/14/2014
3,14 And,b,1,185.84,,76.39,4813,2.2,11,5/14/2014
4,14 Her,b,1,1773.4,,18.15,5311,0.9,,5/14/2014
5,16 Cyg B,b,1,798.5,,21.41,5674,0.99,,9/10/2015
6,18 Del,b,1,993.3,,73.1,4979,2.3,8.5,5/14/2014
7,1RXS J160929.1-210524,b,1,,,145,4060,0.85,,4/1/2015
8,24 Sex,b,2,452.8,,74.79,5098,1.54,4.9,5/14/2014
9,24 Sex,c,2,883,,74.79,5098,1.54,4.9,5/14/2014
10,2MASS J01225093-2439505,b,1,,,36,3530,0.4,,5/14/2014
11,2MASS J02192210-3925225,b,1,,1.44,39.4,3064,0.11,0.28,5/14/2015
12,2MASS J04414489+2301513,b,1,,,140,,0.02,,5/14/2014
13,2MASS J12073346-3932539,b,1,,,52.4,,0.02,,5/14/2014
14,2MASS J19383260+4603591,b,1,416,,,,0.48,,6/4/2015
15,2MASS J21402931+1625183 A,b,1,7336.5,0.92,25,2300,0.08,0.12,5/14/2014
16,2MASS J22362452+4751425,b,1,,,74,4045,0.6,,11/10/2016
17,30 Ari B,b,1,335.1,,39.43,6300,1.16,1.13,5/14/2014
18,4 UMa,b,1,269.3,,77.4,4415,1.23,18.11,5/14/2014
19,42 Dra,b,1,479.1,,97.28,4200,0.98,22.03,5/14/2014
20,47 UMa,b,3,1078,,14.08,5892,1.03,1.23,5/14/2014
21,47 UMa,c,3,2391,,14.08,5892,1.03,1.23,5/14/2014
22,47 UMa,d,3,14002,,14.08,5892,1.03,1.23,5/14/2014
23,51 Eri,b,1,,,29.4,,1.75,,8/14/2015
24,51 Peg,b,1,4.230785,,15.36,5793,1.12,1.2,5/14/2014
25,55 Cnc,b,5,14.65152,,12.53,5196,0.91,0.94,10/29/2014
26,55 Cnc,c,5,44.4175,,12.53,5196,0.91,0.94,10/29/2014
27,55 Cnc,d,5,4825,,12.53,5196,0.91,0.94,10/29/2014
28,55 Cnc,e,5,0.736539,0.17,12.53,5196,0.91,0.94,7/7/2016
29,55 Cnc,f,5,262,,12.53,5196,0.91,0.94,10/29/2014
30,6 Lyn,b,1,874.774,,56.95,4978,1.7,5.2,9/3/2015
31,61 Vir,b,3,4.215,,8.52,5577,0.94,0.96,5/14/2014
32,61 Vir,c,3,38.021,,8.52,5577,0.94,0.96,5/14/2014
33,61 Vir,d,3,123.01,,8.52,5577,0.94,0.96,5/14/2014
34,7 CMa,b,1,796,,19.84,4792,1.52,2.3,10/22/2015
35,70 Vir,b,1,116.6926,,18.11,5439,1.09,1.94,4/24/2015
36,75 Cet,b,1,691.9,,81.5,4846,2.49,10.5,9/3/2015
37,8 UMi,b,1,93.4,,159.1,4847.4,1.8,9.9,10/15/2015
38,81 Cet,b,1,952.7,,97.18,4785,2.4,11,5/14/2014
39,91 Aqr,b,1,181.4,,45.52,4665,1.4,11,5/14/2014
40,AB Pic,b,1,,,45.52,,,,5/14/2014
41,BD+03 2562,b,1,481.9,,2618,4095,1.14,32.35,6/15/2017
42,BD+14 4559,b,1,268.94,,50.03,5008,0.86,0.95,5/14/2014
43,BD+15 2375,b,1,153.22,,774,4649,1.08,8.95,2/4/2016
44,BD+15 2940,b,1,137.48,,175.44,4796,1.1,14.7,5/14/2014
45,BD+20 1790,b,1,7.78287,,25.4,4410,0.63,0.71,3/26/2015
46,BD+20 2457,b,2,379.63,,200,4137,2.8,49,5/14/2014
47,BD+20 2457,c,2,621.99,,200,4137,2.8,49,5/14/2014
48,BD+20 274,b,1,578.2,,,4296,0.8,17.3,9/18/2015
49,BD+20 594,b,1,41.6855,0.199,,5766,0.96,0.93,7/28/2016
50,BD+48 738,b,1,392.6,,,4414,0.74,11,8/13/2015
51,BD+48 740,b,1,733,,751.87,4534,1.09,10.33,2/1/2018
52,BD+49 828,b,1,2590,,,4943,1.52,7.6,2/5/2015
53,BD-06 1339,b,2,3.8728,,20.1,4324,0.7,,5/14/2014
54,BD-06 1339,c,2,125.94,,20.1,4324,0.7,,5/14/2014
55,BD-08 2823,b,2,5.6,,42.09,4746,0.74,,5/14/2014
56,BD-08 2823,c,2,237.6,,42.09,4746,0.74,,5/14/2014
57,BD-10 3166,b,1,3.48777,,80,5393,1.01,,8/27/2014
58,BD-11 4672,b,1,1667,,27.3,4475,0.57,0.52,1/8/2015
59,BD-13 2130,b,1,714.3,,766,,2.4,,5/14/2015
60,BD-17 63,b,1,655.6,,37.54,4714,0.74,0.69,5/14/2014
61,CFBDSIR J145829+101343,b,1,10037.5,,23.1,580.5,0.02,,5/14/2014
62,CHXR 73,b,1,,,,,0.35,,5/14/2014
63,CT Cha,b,1,,2.2,165,,,,5/14/2014
