"","key","star_name","planet_letter","discovery_method","pl_pnum","orbital_period","orbital_eccentricity","star_temp","star_radius","planet_temp","radius","discovery_year","light_years"
"1","11 Com_b","11 Com","b","Radial Velocity",1,326.03,0.231,4742,19,NA,NA,2007,360.7937672
"2","11 UMi_b","11 UMi","b","Radial Velocity",1,516.22,0.08,4340,24.08,NA,NA,2009,389.6585732
"3","14 And_b","14 And","b","Radial Velocity",1,185.84,0,4813,11,NA,NA,2008,249.1505684
"4","14 Her_b","14 Her","b","Radial Velocity",1,1773.4,0.369,5311,NA,NA,NA,2002,59.197314
"5","16 Cyg B_b","16 Cyg B","b","Radial Velocity",1,798.5,0.681,5674,NA,NA,NA,1996,69.8299996
"6","18 Del_b","18 Del","b","Radial Velocity",1,993.3,0.08,4979,8.5,NA,NA,2008,238.420036
"7","1RXS J160929.1-210524_b","1RXS J160929.1-210524","b","Imaging",1,NA,NA,4060,NA,1700,NA,2008,472.9262
"8","24 Sex_b","24 Sex","b","Radial Velocity",2,452.8,0.09,5098,4.9,NA,NA,2010,243.9320724
"9","24 Sex_c","24 Sex","c","Radial Velocity",2,883,0.29,5098,4.9,NA,NA,2010,243.9320724
"10","2MASS J01225093-2439505_b","2MASS J01225093-2439505","b","Imaging",1,NA,NA,3530,NA,NA,NA,2013,117.41616
"11","2MASS J02192210-3925225_b","2MASS J02192210-3925225","b","Imaging",1,NA,NA,3064,0.28,NA,16.141,2015,128.505464
"12","2MASS J04414489+2301513_b","2MASS J04414489+2301513","b","Imaging",1,NA,NA,NA,NA,NA,NA,2010,456.6184
"13","2MASS J12073346-3932539_b","2MASS J12073346-3932539","b","Imaging",1,NA,NA,NA,NA,1150,NA,2004,170.905744
"14","2MASS J19383260+4603591_b","2MASS J19383260+4603591","b","Eclipse Timing Variations",1,416,NA,NA,NA,NA,NA,2015,NA
"15","2MASS J21402931+1625183 A_b","2MASS J21402931+1625183 A","b","Imaging",1,7336.5,0.26,2300,0.12,2075,10.31,2009,81.539
"16","2MASS J22362452+4751425_b","2MASS J22362452+4751425","b","Imaging",1,NA,NA,4045,NA,NA,NA,2016,241.35544
"17","30 Ari B_b","30 Ari B","b","Radial Velocity",1,335.1,0.289,6300,1.13,NA,NA,2009,128.6033108
"18","4 UMa_b","4 UMa","b","Radial Velocity",1,269.3,0.432,4415,18.11,NA,NA,2006,252.444744
"19","42 Dra_b","42 Dra","b","Radial Velocity",1,479.1,0.38,4200,22.03,NA,NA,2008,317.2845568
"20","47 UMa_b","47 UMa","b","Radial Velocity",3,1078,0.032,5892,1.23,NA,NA,1996,45.9227648
"21","47 UMa_c","47 UMa","c","Radial Velocity",3,2391,0.098,5892,1.23,NA,NA,2001,45.9227648
"22","47 UMa_d","47 UMa","d","Radial Velocity",3,14002,0.16,5892,1.23,NA,NA,2009,45.9227648
"23","51 Eri_b","51 Eri","b","Imaging",1,NA,NA,NA,NA,700,NA,2015,95.889864
"24","51 Peg_b","51 Peg","b","Radial Velocity",1,4.230785,0.013,5793,1.2,NA,NA,1995,50.0975616
"25","55 Cnc_b","55 Cnc","b","Radial Velocity",5,14.65152,0.0034,5196,0.94,NA,NA,1996,40.8673468
"26","55 Cnc_c","55 Cnc","c","Radial Velocity",5,44.4175,0.02,5196,0.94,NA,NA,2004,40.8673468
"27","55 Cnc_d","55 Cnc","d","Radial Velocity",5,4825,0.019,5196,0.94,NA,NA,2002,40.8673468
"28","55 Cnc_e","55 Cnc","e","Radial Velocity",5,0.736539,NA,5196,0.94,NA,1.91,2004,40.8673468
"29","55 Cnc_f","55 Cnc","f","Radial Velocity",5,262,0.305,5196,0.94,NA,NA,2007,40.8673468
"30","6 Lyn_b","6 Lyn","b","Radial Velocity",1,874.774,0.125,4978,5.2,NA,NA,2008,185.745842
"31","61 Vir_b","61 Vir","b","Radial Velocity",3,4.215,0.12,5577,0.96,NA,NA,2009,27.7884912
"32","61 Vir_c","61 Vir","c","Radial Velocity",3,38.021,0.14,5577,0.96,NA,NA,2009,27.7884912
"33","61 Vir_d","61 Vir","d","Radial Velocity",3,123.01,0.35,5577,0.96,NA,NA,2009,27.7884912
"34","7 CMa_b","7 CMa","b","Radial Velocity",1,796,0.22,4792,2.3,NA,NA,2011,64.7093504
"35","70 Vir_b","70 Vir","b","Radial Velocity",1,116.6926,0.399,5439,1.94,NA,NA,1996,59.0668516
"36","75 Cet_b","75 Cet","b","Radial Velocity",1,691.9,0.117,4846,10.5,NA,NA,2012,265.81714
"37","8 UMi_b","8 UMi","b","Radial Velocity",1,93.4,0.06,4847.4,9.9,NA,NA,2015,518.914196
"38","81 Cet_b","81 Cet","b","Radial Velocity",1,952.7,0.206,4785,11,NA,NA,2008,316.9584008
"39","91 Aqr_b","91 Aqr","b","Radial Velocity",1,181.4,0.027,4665,11,NA,NA,2013,148.4662112
"40","AB Pic_b","AB Pic","b","Imaging",1,NA,NA,NA,NA,NA,NA,2005,148.4662112
"41","BD+03 2562_b","BD+03 2562","b","Radial Velocity",1,481.9,0.2,4095,32.35,NA,NA,2017,8538.76408
"42","BD+14 4559_b","BD+14 4559","b","Radial Velocity",1,268.94,0.29,5008,0.95,NA,NA,2009,163.1758468
"43","BD+15 2375_b","BD+15 2375","b","Radial Velocity",1,153.22,0.001,4649,8.95,NA,NA,2016,2524.44744
"44","BD+15 2940_b","BD+15 2940","b","Radial Velocity",1,137.48,0.26,4796,14.7,NA,NA,2013,572.2080864
"45","BD+20 1790_b","BD+20 1790","b","Radial Velocity",1,7.78287,0.22,4410,0.71,NA,NA,2010,82.843624
"46","BD+20 2457_b","BD+20 2457","b","Radial Velocity",2,379.63,0.15,4137,49,NA,NA,2009,652.312
"47","BD+20 2457_c","BD+20 2457","c","Radial Velocity",2,621.99,0.18,4137,49,NA,NA,2009,652.312
"48","BD+20 274_b","BD+20 274","b","Radial Velocity",1,578.2,0.21,4296,17.3,NA,NA,2012,NA
"49","BD+20 594_b","BD+20 594","b","Transit",1,41.6855,0,5766,0.93,546,2.23,2016,NA
"50","BD+48 738_b","BD+48 738","b","Radial Velocity",1,392.6,0.2,4414,11,NA,NA,2011,NA
"51","BD+48 740_b","BD+48 740","b","Radial Velocity",1,733,0.76,4534,10.33,NA,NA,2018,2452.2691172
"52","BD+49 828_b","BD+49 828","b","Radial Velocity",1,2590,0.35,4943,7.6,NA,NA,2015,NA
"53","BD-06 1339_b","BD-06 1339","b","Radial Velocity",2,3.8728,0,4324,NA,NA,NA,2013,65.557356
"54","BD-06 1339_c","BD-06 1339","c","Radial Velocity",2,125.94,0.31,4324,NA,NA,NA,2013,65.557356
"55","BD-08 2823_b","BD-08 2823","b","Radial Velocity",2,5.6,0.15,4746,NA,NA,NA,2009,137.2790604
"56","BD-08 2823_c","BD-08 2823","c","Radial Velocity",2,237.6,0.19,4746,NA,NA,NA,2009,137.2790604
"57","BD-10 3166_b","BD-10 3166","b","Radial Velocity",1,3.48777,0.019,5393,NA,NA,NA,2000,260.9248
"58","BD-11 4672_b","BD-11 4672","b","Radial Velocity",1,1667,0.05,4475,0.52,NA,NA,2014,89.040588
"59","BD-13 2130_b","BD-13 2130","b","Radial Velocity",1,714.3,0.21,NA,NA,NA,NA,2007,2498.35496
"60","BD-17 63_b","BD-17 63","b","Radial Velocity",1,655.6,0.54,4714,0.69,NA,NA,2008,122.4389624
"61","CFBDSIR J145829+101343_b","CFBDSIR J145829+101343","b","Imaging",1,10037.5,NA,580.5,NA,370,NA,2011,75.342036
"62","CHXR 73_b","CHXR 73","b","Imaging",1,NA,NA,NA,NA,NA,NA,2006,NA
"63","CT Cha_b","CT Cha","b","Imaging",1,NA,NA,NA,NA,2600,24.66,2007,538.1574
"64","CoRoT-1_b","CoRoT-1","b","Transit",1,1.5089557,0,5950,1.11,1898,16.7,2008,NA
"65","CoRoT-10_b","CoRoT-10","b","Transit",1,13.2406,0.53,5075,0.79,600,10.87,2010,1125.2382
"66","CoRoT-11_b","CoRoT-11","b","Transit",1,2.99433,0,6440,1.37,1657,16.03,2010,1826.4736
"67","CoRoT-12_b","CoRoT-12","b","Transit",1,2.828042,0.07,5675,1.12,1442,16.14,2010,3750.794
"68","CoRoT-13_b","CoRoT-13","b","Transit",1,4.03519,0,5945,1.01,1700,9.92,2010,3457.2536
"69","CoRoT-14_b","CoRoT-14","b","Transit",1,1.51214,0,6035,1.21,1952,12.22,2010,4370.4904
"70","CoRoT-16_b","CoRoT-16","b","Transit",1,5.35227,0.33,5650,1.19,NA,13.11,2011,2739.7104
"71","CoRoT-17_b","CoRoT-17","b","Transit",1,3.7681,0,5740,1.59,1626,11.43,2011,3000.6352
"72","CoRoT-18_b","CoRoT-18","b","Transit",1,1.9000693,0.08,5440,1,1550,14.68,2011,2837.5572
"73","CoRoT-19_b","CoRoT-19","b","Transit",1,3.89713,0.047,6090,1.65,2000,14.46,2011,2511.4012
"74","CoRoT-2_b","CoRoT-2","b","Transit",1,1.7429935,0.0143,5625,0.91,NA,16.432,2008,652.312
"75","CoRoT-20_b","CoRoT-20","b","Transit",1,9.24285,0.562,5880,1.02,1002,9.42,2011,4011.7188
"76","CoRoT-22_b","CoRoT-22","b","Transit",1,9.75598,0.077,5939,1.14,885,4.88,2014,1930.84352
"77","CoRoT-23_b","CoRoT-23","b","Transit",1,3.6313,0.16,5900,1.61,1660,11.77,2011,1956.936
"78","CoRoT-24_b","CoRoT-24","b","Transit",2,5.1134,0,4950,0.86,1070,3.7,2014,1956.936
"79","CoRoT-24_c","CoRoT-24","c","Transit",2,11.759,0,4950,0.86,850,5,2014,1956.936
"80","CoRoT-25_b","CoRoT-25","b","Transit",1,4.86069,0,6040,1.19,1330,12.11,2013,3261.56
"81","CoRoT-26_b","CoRoT-26","b","Transit",1,4.20474,0,5590,1.79,1600,14.12,2013,5446.8052
"82","CoRoT-27_b","CoRoT-27","b","Transit",1,3.57532,0.065,5900,1.08,1500,11.287,2014,NA
"83","CoRoT-28_b","CoRoT-28","b","Transit",1,5.20851,0.047,5150,1.78,NA,10.705,2015,1826.4736
