loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,st_dist,st_teff,st_rad,pl_eqt,pl_rade,pl_disc
1,11 Com,b,Radial Velocity,1,326.03,0.231,110.62,4742,19,,,2007
2,11 UMi,b,Radial Velocity,1,516.22,0.08,119.47,4340,24.08,,,2009
3,14 And,b,Radial Velocity,1,185.84,0,76.39,4813,11,,,2008
4,14 Her,b,Radial Velocity,1,1773.4,0.369,18.15,5311,,,,2002
5,16 Cyg B,b,Radial Velocity,1,798.5,0.681,21.41,5674,,,,1996
6,18 Del,b,Radial Velocity,1,993.3,0.08,73.1,4979,8.5,,,2008
7,1RXS J160929.1-210524,b,Imaging,1,,,145,4060,,1700,,2008
8,24 Sex,b,Radial Velocity,2,452.8,0.09,74.79,5098,4.9,,,2010
9,24 Sex,c,Radial Velocity,2,883,0.29,74.79,5098,4.9,,,2010
10,2MASS J01225093-2439505,b,Imaging,1,,,36,3530,,,,2013
11,2MASS J02192210-3925225,b,Imaging,1,,,39.4,3064,0.28,,16.141,2015
12,2MASS J04414489+2301513,b,Imaging,1,,,140,,,,,2010
13,2MASS J12073346-3932539,b,Imaging,1,,,52.4,,,1150,,2004
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,,,,,,,2015
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,0.26,25,2300,0.12,2075,10.31,2009
16,2MASS J22362452+4751425,b,Imaging,1,,,74,4045,,,,2016
17,30 Ari B,b,Radial Velocity,1,335.1,0.289,39.43,6300,1.13,,,2009
18,4 UMa,b,Radial Velocity,1,269.3,0.432,77.4,4415,18.11,,,2006
19,42 Dra,b,Radial Velocity,1,479.1,0.38,97.28,4200,22.03,,,2008
20,47 UMa,b,Radial Velocity,3,1078,0.032,14.08,5892,1.23,,,1996
21,47 UMa,c,Radial Velocity,3,2391,0.098,14.08,5892,1.23,,,2001
22,47 UMa,d,Radial Velocity,3,14002,0.16,14.08,5892,1.23,,,2009
23,51 Eri,b,Imaging,1,,,29.4,,,700,,2015
24,51 Peg,b,Radial Velocity,1,4.230785,0.013,15.36,5793,1.2,,,1995
25,55 Cnc,b,Radial Velocity,5,14.65152,0.0034,12.53,5196,0.94,,,1996
26,55 Cnc,c,Radial Velocity,5,44.4175,0.02,12.53,5196,0.94,,,2004
27,55 Cnc,d,Radial Velocity,5,4825,0.019,12.53,5196,0.94,,,2002
28,55 Cnc,e,Radial Velocity,5,0.736539,,12.53,5196,0.94,,1.91,2004
29,55 Cnc,f,Radial Velocity,5,262,0.305,12.53,5196,0.94,,,2007
30,6 Lyn,b,Radial Velocity,1,874.774,0.125,56.95,4978,5.2,,,2008
31,61 Vir,b,Radial Velocity,3,4.215,0.12,8.52,5577,0.96,,,2009
32,61 Vir,c,Radial Velocity,3,38.021,0.14,8.52,5577,0.96,,,2009
33,61 Vir,d,Radial Velocity,3,123.01,0.35,8.52,5577,0.96,,,2009
34,7 CMa,b,Radial Velocity,1,796,0.22,19.84,4792,2.3,,,2011
35,70 Vir,b,Radial Velocity,1,116.6926,0.399,18.11,5439,1.94,,,1996
36,75 Cet,b,Radial Velocity,1,691.9,0.117,81.5,4846,10.5,,,2012
37,8 UMi,b,Radial Velocity,1,93.4,0.06,159.1,4847.4,9.9,,,2015
38,81 Cet,b,Radial Velocity,1,952.7,0.206,97.18,4785,11,,,2008
39,91 Aqr,b,Radial Velocity,1,181.4,0.027,45.52,4665,11,,,2013
40,AB Pic,b,Imaging,1,,,45.52,,,,,2005
41,BD+03 2562,b,Radial Velocity,1,481.9,0.2,2618,4095,32.35,,,2017
42,BD+14 4559,b,Radial Velocity,1,268.94,0.29,50.03,5008,0.95,,,2009
43,BD+15 2375,b,Radial Velocity,1,153.22,0.001,774,4649,8.95,,,2016
44,BD+15 2940,b,Radial Velocity,1,137.48,0.26,175.44,4796,14.7,,,2013
45,BD+20 1790,b,Radial Velocity,1,7.78287,0.22,25.4,4410,0.71,,,2010
46,BD+20 2457,b,Radial Velocity,2,379.63,0.15,200,4137,49,,,2009
47,BD+20 2457,c,Radial Velocity,2,621.99,0.18,200,4137,49,,,2009
48,BD+20 274,b,Radial Velocity,1,578.2,0.21,,4296,17.3,,,2012
49,BD+20 594,b,Transit,1,41.6855,0,,5766,0.93,546,2.23,2016
50,BD+48 738,b,Radial Velocity,1,392.6,0.2,,4414,11,,,2011
51,BD+48 740,b,Radial Velocity,1,733,0.76,751.87,4534,10.33,,,2018
52,BD+49 828,b,Radial Velocity,1,2590,0.35,,4943,7.6,,,2015
53,BD-06 1339,b,Radial Velocity,2,3.8728,0,20.1,4324,,,,2013
54,BD-06 1339,c,Radial Velocity,2,125.94,0.31,20.1,4324,,,,2013
55,BD-08 2823,b,Radial Velocity,2,5.6,0.15,42.09,4746,,,,2009
56,BD-08 2823,c,Radial Velocity,2,237.6,0.19,42.09,4746,,,,2009
57,BD-10 3166,b,Radial Velocity,1,3.48777,0.019,80,5393,,,,2000
58,BD-11 4672,b,Radial Velocity,1,1667,0.05,27.3,4475,0.52,,,2014
59,BD-13 2130,b,Radial Velocity,1,714.3,0.21,766,,,,,2007
60,BD-17 63,b,Radial Velocity,1,655.6,0.54,37.54,4714,0.69,,,2008
61,CFBDSIR J145829+101343,b,Imaging,1,10037.5,,23.1,580.5,,370,,2011
62,CHXR 73,b,Imaging,1,,,,,,,,2006
63,CT Cha,b,Imaging,1,,,165,,,2600,24.66,2007
64,CoRoT-1,b,Transit,1,1.5089557,0,,5950,1.11,1898,16.7,2008
65,CoRoT-10,b,Transit,1,13.2406,0.53,345,5075,0.79,600,10.87,2010
66,CoRoT-11,b,Transit,1,2.99433,0,560,6440,1.37,1657,16.03,2010
67,CoRoT-12,b,Transit,1,2.828042,0.07,1150,5675,1.12,1442,16.14,2010
68,CoRoT-13,b,Transit,1,4.03519,0,1060,5945,1.01,1700,9.92,2010
69,CoRoT-14,b,Transit,1,1.51214,0,1340,6035,1.21,1952,12.22,2010
70,CoRoT-16,b,Transit,1,5.35227,0.33,840,5650,1.19,,13.11,2011
71,CoRoT-17,b,Transit,1,3.7681,0,920,5740,1.59,1626,11.43,2011
72,CoRoT-18,b,Transit,1,1.9000693,0.08,870,5440,1,1550,14.68,2011
73,CoRoT-19,b,Transit,1,3.89713,0.047,770,6090,1.65,2000,14.46,2011
74,CoRoT-2,b,Transit,1,1.7429935,0.0143,200,5625,0.91,,16.432,2008
75,CoRoT-20,b,Transit,1,9.24285,0.562,1230,5880,1.02,1002,9.42,2011
76,CoRoT-22,b,Transit,1,9.75598,0.077,592,5939,1.14,885,4.88,2014
77,CoRoT-23,b,Transit,1,3.6313,0.16,600,5900,1.61,1660,11.77,2011
78,CoRoT-24,b,Transit,2,5.1134,0,600,4950,0.86,1070,3.7,2014
79,CoRoT-24,c,Transit,2,11.759,0,600,4950,0.86,850,5,2014
80,CoRoT-25,b,Transit,1,4.86069,0,1000,6040,1.19,1330,12.11,2013
81,CoRoT-26,b,Transit,1,4.20474,0,1670,5590,1.79,1600,14.12,2013
82,CoRoT-27,b,Transit,1,3.57532,0.065,,5900,1.08,1500,11.287,2014
83,CoRoT-28,b,Transit,1,5.20851,0.047,560,5150,1.78,,10.705,2015
84,CoRoT-29,b,Transit,1,2.85057,0.082,765,5260,0.9,,10.088,2015
85,CoRoT-3,b,Transit,1,4.2568,0,680,6740,1.56,,11.32,2008
86,CoRoT-4,b,Transit,1,9.20205,0,,6190,1.17,1074,13.34,2008
87,CoRoT-5,b,Transit,1,4.0378962,0.09,,6100,1.19,1438,15.558,2009
88,CoRoT-6,b,Transit,1,8.886593,0.1,,6090,1.02,1017,13.068,2009
89,CoRoT-7,b,Transit,2,0.85359159,0,153.7,5259,0.82,1756,1.585,2009
90,CoRoT-7,c,Radial Velocity,2,3.698,0,153.7,5259,0.82,,,2009
91,CoRoT-8,b,Transit,1,6.21229,0,380,5080,0.77,,6.39,2010
92,CoRoT-9,b,Transit,1,95.272656,0.133,460,5625,0.96,420,11.949,2009
93,CoRoTID 223977153,b,Transit,1,6.71837,,,5970,0.79,938,6.389,2017
94,DENIS-P J082303.1-491201,b,Astrometry,1,246.36,0.345,20.77,,,,,2013
95,DH Tau,b,Imaging,1,,,140,,0.27,,,2004
96,DP Leo,b,Eclipse Timing Variations,1,10220,0.39,,,,,,2009
97,EPIC 211822797,b,Transit,1,21.169861,0.06,,4148.21,0.57,,1.98,2016
98,EPIC 220674823,b,Transit,2,0.571336,,,5496,0.95,2063,1.82,2016
99,EPIC 220674823,c,Transit,2,13.3387,,,5496,0.95,722,2.77,2016
100,FU Tau,b,Imaging,1,,,140,2838,,2375,,2008
101,Fomalhaut,b,Imaging,1,555530,0.87,7.7,,,,,2008
102,GJ 1132,b,Transit,1,1.6289287,,12.04,,0.26,644,1.43,2015
103,GJ 1148,b,Radial Velocity,2,41.38,0.38,11.03,,,,,2010
104,GJ 1148,c,Radial Velocity,2,532.58,0.342,11.03,,,,,2017
105,GJ 1214,b,Transit,1,1.58040456,,12.95,3170,0.18,,2.847,2009
106,GJ 163,b,Radial Velocity,3,8.63182,0.073,14.97,3500,,,,2013
107,GJ 163,c,Radial Velocity,3,25.63058,0.099,14.97,3500,,,,2013
108,GJ 163,d,Radial Velocity,3,603.95116,0.373,14.97,3500,,,,2013
109,GJ 179,b,Radial Velocity,1,2288,0.21,12.12,3370,0.38,,,2009
110,GJ 273,b,Radial Velocity,2,18.6498,0.1,3.8,3382,0.29,,,2017
111,GJ 273,c,Radial Velocity,2,4.7234,0.17,3.8,3382,0.29,,,2017
112,GJ 3021,b,Radial Velocity,1,133.71,0.511,17.62,5540,0.9,350,,2000
113,GJ 3138,b,Radial Velocity,3,1.22003,0.19,28.48,3717,0.5,,,2017
114,GJ 3138,c,Radial Velocity,3,5.974,0.11,28.48,3717,0.5,,,2017
115,GJ 3138,d,Radial Velocity,3,257.8,0.32,28.48,3717,0.5,,,2017
116,GJ 317,b,Radial Velocity,1,692,0.11,15.1,3510,,,,2007
117,GJ 328,b,Radial Velocity,1,4100,0.37,20.03,3900,,,,2013
118,GJ 3293,b,Radial Velocity,4,30.5987,0.06,15.77,3466,0.4,,,2015
119,GJ 3293,c,Radial Velocity,4,122.6196,0.11,15.77,3466,0.4,,,2015
120,GJ 3293,d,Radial Velocity,4,48.1345,0.12,15.77,3466,0.4,,,2017
121,GJ 3293,e,Radial Velocity,4,13.2543,0.21,15.77,3466,0.4,,,2017
122,GJ 3323,b,Radial Velocity,2,5.3636,0.23,5.32,3159,0.12,,,2017
123,GJ 3323,c,Radial Velocity,2,40.54,0.17,5.32,3159,0.12,,,2017
124,GJ 3341,b,Radial Velocity,1,14.207,0.31,23.16,3526,0.44,,,2015
125,GJ 3470,b,Radial Velocity,1,3.3366487,0.017,25.2,3652,0.48,604,3.88,2012
126,GJ 3634,b,Radial Velocity,1,2.64561,0.08,19.8,,0.43,,,2010
127,GJ 3942,b,Radial Velocity,1,6.905,0.121,16.96,3867,0.61,590,,2017
128,GJ 3998,b,Radial Velocity,2,2.64977,0,17.79,3722,0.49,,,2016
129,GJ 3998,c,Radial Velocity,2,13.74,0.049,17.79,3722,0.49,,,2016
130,GJ 433,b,Radial Velocity,1,7.3709,0.08,9.04,3600,,,,2011
131,GJ 436,b,Radial Velocity,1,2.64388312,0.13827,10.23,,0.46,,4.17,2004
132,GJ 504,b,Imaging,1,,,17.95,6234,,510,,2013
133,GJ 536,b,Radial Velocity,1,8.7076,0.08,10.03,3685,0.5,,,2016
134,GJ 581,b,Radial Velocity,3,5.3686,0,6.27,,0.29,,,2005
135,GJ 581,c,Radial Velocity,3,12.914,0,6.27,,0.29,,,2007
136,GJ 581,e,Radial Velocity,3,3.149,0,6.27,,0.29,,,2009
137,GJ 625,b,Radial Velocity,1,14.628,0.13,6.49,3499,0.31,,,2017
138,GJ 649,b,Radial Velocity,1,598.3,0.3,10.32,3700,,,,2009
139,GJ 667 C,b,Radial Velocity,5,7.2004,0.13,6.8,3350,,,,2011
140,GJ 667 C,c,Radial Velocity,5,28.14,0.02,6.8,3350,,,,2011
141,GJ 667 C,e,Radial Velocity,5,62.24,0.02,6.8,3350,,,,2013
142,GJ 667 C,f,Radial Velocity,5,39.026,0.03,6.8,3350,,,,2013
143,GJ 667 C,g,Radial Velocity,5,256.2,0.08,6.8,3350,,,,2013
